# desirability_entropy, agent_entropy, utility
2.979140551798221459e+00,7.163321644494580198e-01,3.872018197463305000e-01
2.669665951025717909e+00,7.963816410519886091e-01,3.711420889802076739e-01
2.930515266246663586e+00,8.514392910845637319e-01,4.000097604945435648e-01
2.479725279259809678e+00,8.577410017148131560e-01,3.261406933665101926e-01
3.020243086820641132e+00,7.781991249877280303e-01,4.068023124683319836e-01
2.858738843090752990e+00,8.494037238633348474e-01,3.764323679646688903e-01
2.608338284246798811e+00,8.770708377038902714e-01,3.894262156746214343e-01
2.942183800453856080e+00,7.130531926122674058e-01,3.833305813005606355e-01
2.781165743569186777e+00,8.809522661801296728e-01,4.014225668115564138e-01
2.634350511460510358e+00,8.656443132844326982e-01,3.747868431037154058e-01
2.531584070258155350e+00,8.571894089870730760e-01,3.474857655531646827e-01
2.714906245390347639e+00,8.110834302119289685e-01,3.818484167490776016e-01
2.721018257729397316e+00,8.534834917311098224e-01,3.756319125903874734e-01
2.726195091182649133e+00,8.607953422977611124e-01,4.039588239986583451e-01
2.651747329446842549e+00,8.629652018811955205e-01,3.336526297054339674e-01
2.850208030043416940e+00,8.438027183800842490e-01,4.076411382448841825e-01
